SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5
22088,Nebulous | Jib,9,9,18.0,18.0,18.0
22333,Redcoat,NAN,11,33.0,51.0,56.0
22458,Kandayo,4,4,4.0,7.0,9.0
22479,Rei,NAN,NAN,NAN,NAN,53.0
22595,Aura,9,10,17.0,17.0,17.0
23207,veil,NAN,NAN,NAN,NAN,4.0
23422,ZimD00D,NAN,20,20.0,20.0,20.0
23501,Ratt,1,1,3.0,3.0,3.0
23995,Forrest,7,7,7.0,7.0,7.0
25351,Hell'sLabyrinth,1,1,6.0,18.0,22.0
25463,Creature,NAN,NAN,NAN,5.0,5.0
25478,Maruf,NAN,NAN,19.0,19.0,45.0
25810,Melee Stats | Pikachu942,2,2,2.0,2.0,2.0
25916,redpandamaster,17,17,17.0,17.0,17.0
26004,Kyler,NAN,NAN,NAN,7.0,7.0
26187,Slowking,NAN,NAN,54.0,54.0,54.0
26289,Trill Jake,NAN,NAN,NAN,NAN,6.0
26387,Phantom Airline,4,4,4.0,23.0,23.0
26574,NEU | Shmeeli,NAN,NAN,NAN,55.0,55.0
26750,KoDoRiN,216,434,623.0,623.0,730.0
26920,Trash,1,1,1.0,1.0,1.0
27524,JustRhett,NAN,NAN,1.0,2.0,2.0
27547,TSBO | HateSauce,NAN,NAN,NAN,NAN,2.0
28391,Vigilance,NAN,NAN,NAN,8.0,8.0
28793,Light,NAN,NAN,NAN,36.0,55.0
29405,Vianny,NAN,NAN,14.0,14.0,22.0
29840,TBD,21,52,52.0,72.0,72.0
30804,Frap,13,25,39.0,39.0,47.0
31487,Winx Club | Siddward,12,12,24.0,100.0,109.0
32201,PRIN$E,NAN,12,12.0,12.0,22.0
32691,Blitzkrieg,2,2,2.0,2.0,2.0
33458,RustyTrombone,NAN,NAN,8.0,15.0,26.0
